Anthony Berrios
ab905436@wcupa.edu

  Number 	Occurrence Times
  1                8
  2                13
  3                10
  4                11
  5                16
  6                9
  7                8
  8                12
  9                13
  10                10
  11                6
  12                4
  13                11
  14                6
  15                15
  16                11
  17                13
  18                11
  19                18
  20                5
  21                7
  22                7
  23                14
  24                8
  25                10
  26                19
  27                17
  28                9
  29                20
  30                13
  31                14
  32                9
  33                6
  34                10
  35                13
  36                8
  37                13
  38                9
  39                7
  40                9
  41                8
  42                9
  43                16
  44                4
  45                7
  46                8
  47                12
  48                10
  49                15
  50                8
  51                7
  52                10
  53                12
  54                7
  55                6
  56                7
  57                9
  58                10
  59                8
  60                8
  61                14
  62                13
  63                10
  64                16
  65                8
  66                10
  67                9
  68                6
  69                7
  70                11
  71                12
  72                2
  73                5
  74                4
  75                9
  76                8
  77                10
  78                14
  79                6
  80                13
  81                8
  82                12
  83                12
  84                11
  85                8
  86                6
  87                9
  88                5
  89                8
  90                10
  91                10
  92                13
  93                9
  94                9
  95                6
  96                16
  97                11
  98                9
  99                14
  100                14
